市场,代码,均匀_累计收益,均匀_最大回撤,均匀_夏普比率,PT_累计收益,PT_最大回撤,PT_夏普比率
沪市主板,600519,-0.3217414241758493,-0.43870611741519727,-0.5674682899143809,-0.1844969446972614,-0.3565011701344407,-0.19763912971785844
沪市主板,601398,0.5229251862724933,-0.14833775683182773,0.8147974545916604,0.5637497066232555,-0.14406517596368038,0.8253859192711321
沪市主板,601288,0.8982242834415739,-0.16573693404016754,1.0849575471419464,1.212435424416714,-0.15444363727315674,1.2467950680123476
沪市主板,601988,0.4946387146118836,-0.21292597400933594,0.7153138877250053,0.5783976808817008,-0.21312164146780077,0.7599316513644977
沪市主板,601857,0.7158560396176112,-0.22511000253023844,0.656898084461575,0.25293043519968195,-0.303340100778687,0.33970503961893517
沪市主板,601088,0.050944965546276366,-0.23455577671499664,0.16393816945898831,0.19706944515552882,-0.28540881192692436,0.30418113278812614
沪市主板,600036,0.2455115048219343,-0.19630654433558262,0.387882401038014,0.3741151556835136,-0.30425228329361703,0.4986702817351809
沪市主板,601628,0.057207382981146804,-0.3892726696909081,0.17430806836983218,0.13880464068259513,-0.3661461517270134,0.2513857789219891
沪市主板,601006,-0.036878050478528324,-0.19816325644784138,-0.022307803004666605,-0.12397881688238876,-0.2225670294791076,-0.1954535817222481
沪市主板,601328,0.2764478354683353,-0.17464974948281242,0.48663489799964393,0.32509367259839794,-0.2012573975765946,0.5234503484651761
沪市主板,600028,0.6223076218474937,-0.1779025087150962,0.7162704531954138,0.4305779524312805,-0.21739133616171372,0.5334622108605591
沪市主板,600900,0.10276023494043374,-0.11862355021762788,0.26822900263262783,0.23043066521346267,-0.1299380460097555,0.4624123916006194
沪市主板,601166,0.4804454136911598,-0.18741345076059693,0.6728663742529788,0.5403720379776518,-0.17418596239776682,0.6982514175533563
沪市主板,601998,0.709946646514398,-0.2581812163033895,0.7206365131338874,0.735528644643709,-0.2968993989654888,0.7058218618634974
沪市主板,600030,0.7251330836230747,-0.22188328385787193,0.7177766715773076,0.35610339476780717,-0.2225033484459334,0.43813820241447154
沪市主板,601318,0.3937574924830547,-0.27167954623964974,0.4965165235960151,0.40917509326019386,-0.2728144059087131,0.49138924604341894
沪市主板,600104,-0.11749635045776319,-0.2922302667528667,-0.032277238710541,-0.0707483848655357,-0.351201231327479,0.04801775504734852
沪市主板,601688,0.6336601311525651,-0.22219427621674007,0.6647320248947085,0.4294450726815069,-0.2955115612877446,0.48974277392743626
沪市主板,600000,0.13198186160296443,-0.2749197062479541,0.27727909015220265,0.16562211859241605,-0.3074852579463157,0.31167890225301803
沪市主板,600048,-0.49793040542905187,-0.5260066786043665,-0.5560892679983933,-0.6338015200473106,-0.6466682923889766,-0.7561146882284244
深市,300750,0.14982632649012517,-0.3946853311712974,0.26305362348360617,0.745378515862368,-0.39373293296705214,0.5737336437064917
深市,000858,-0.08492316996388427,-0.3508488547727732,-0.012623647428399904,0.12087976501641506,-0.37151748035574544,0.2357021204954768
深市,002594,-0.17843487157842552,-0.4161952289064043,-0.08191988396270515,-0.33797438088937404,-0.5840118798115411,-0.2316266428278679
深市,000333,0.23236357275134245,-0.16867166755833962,0.37631587389807447,0.22761439480214984,-0.23945328824029927,0.3499635822608128
深市,300498,0.08022277550951551,-0.2842588582634901,0.19638991174065462,0.12809829638178516,-0.3312767753817035,0.24296840896489205
深市,002415,-0.25875016844658827,-0.4051065445879747,-0.20886494987192317,-0.187715826006694,-0.40382489279844924,-0.08855457035356633
深市,000651,0.08378948094284522,-0.24055249688978778,0.1993991029311182,0.25332779788075976,-0.24323467821473005,0.37489055899929
深市,000001,-0.05540439873787384,-0.2829414854517067,0.006076352882391046,0.007314550241210638,-0.2758458945971808,0.10526911334894178
深市,000002,-0.192491987936124,-0.422370685111257,-0.08169679804527831,-0.32406572282349966,-0.4990745209215555,-0.21636385957962687
深市,002304,-0.30804960102306633,-0.4652291045410149,-0.408172657913259,-0.1992707551734868,-0.4501393698834393,-0.15674790467883576
深市,002142,0.03561727207218679,-0.30356660071482305,0.14672942783172654,0.3264183473261226,-0.30773365163569627,0.4103358963135208
